'Elapsedtime','CO2','Rhum','Temp','TVOC'
'seconds','ppm','%','degC','ppb'
20190927000018,510.00,58.00,30.10,45.00
20190927000118,506.00,58.00,30.10,46.00
20190927000218,508.00,58.00,30.10,45.00
20190927000318,509.00,58.00,30.10,45.00
20190927000418,508.00,58.00,30.10,45.00
20190927000518,497.00,58.00,30.10,45.00
20190927000618,503.00,58.00,30.10,45.00
20190927000719,509.00,58.00,30.10,45.00
20190927000819,507.00,58.00,30.00,45.00
20190927000919,501.00,58.00,30.10,45.00
20190927001019,504.00,58.00,30.20,46.00
20190927001119,501.00,58.00,30.10,46.00
20190927001219,499.00,58.00,30.20,45.00
20190927001319,505.00,58.00,30.20,46.00
20190927001419,513.00,58.00,30.10,45.00
20190927001519,507.00,58.00,30.20,45.00
20190927001619,513.00,58.00,30.20,45.00
20190927001719,504.00,58.00,30.20,44.00
20190927001819,508.00,58.00,30.20,44.00
20190927001919,510.00,58.00,30.20,45.00
20190927002019,507.00,58.00,30.20,45.00
20190927002119,511.00,58.00,30.10,45.00
20190927002219,498.00,58.00,30.20,44.00
20190927002319,499.00,58.00,30.10,44.00
20190927002420,493.00,58.00,30.10,44.00
20190927002520,496.00,58.00,30.10,44.00
20190927002620,499.00,58.00,30.10,43.00
20190927002720,499.00,58.00,30.10,44.00
20190927002820,502.00,58.00,30.00,45.00
20190927002920,505.00,58.00,30.10,44.00
20190927003020,497.00,58.00,30.10,43.00
20190927003120,501.00,58.00,30.10,43.00
20190927003220,492.00,58.00,30.10,44.00
20190927003320,488.00,58.00,30.10,44.00
20190927003420,499.00,58.00,30.10,45.00
20190927003520,499.00,58.00,30.10,45.00
20190927003620,494.00,58.00,30.10,45.00
20190927003720,495.00,58.00,30.20,45.00
20190927003820,499.00,58.00,30.10,46.00
20190927003920,502.00,58.00,30.10,45.00
20190927004021,503.00,58.00,30.20,45.00
20190927004121,497.00,58.00,30.10,45.00
20190927004221,493.00,58.00,30.10,45.00
20190927004321,491.00,58.00,30.10,45.00
20190927004421,490.00,58.00,30.20,45.00
20190927004521,491.00,58.00,30.10,45.00
20190927004621,493.00,58.00,30.10,45.00
20190927004721,490.00,58.00,30.10,45.00
20190927004821,494.00,58.00,30.10,45.00
20190927004921,508.00,58.00,30.20,45.00
20190927005021,505.00,58.00,30.20,45.00
20190927005121,506.00,58.00,30.20,45.00
20190927005221,492.00,58.00,30.10,45.00
20190927005321,494.00,58.00,30.00,44.00
20190927005421,495.00,58.00,30.10,44.00
20190927005521,492.00,58.00,30.00,43.00
20190927005621,498.00,58.00,30.10,45.00
20190927005721,495.00,58.00,30.10,45.00
20190927005822,496.00,58.00,30.10,44.00
20190927005922,490.00,58.00,30.10,44.00
20190927010022,490.00,58.00,30.10,44.00
20190927010122,489.00,58.00,30.10,45.00
20190927010222,488.00,58.00,30.10,45.00
20190927010322,496.00,58.00,30.10,45.00
20190927010422,493.00,58.00,30.20,45.00
20190927010522,487.00,58.00,30.20,45.00
20190927010622,487.00,58.00,30.10,45.00
20190927010722,493.00,58.00,30.10,45.00
20190927010822,495.00,58.00,30.10,44.00
20190927010922,497.00,58.00,30.10,45.00
20190927011022,495.00,58.00,30.10,45.00
20190927011122,492.00,58.00,30.10,44.00
20190927011222,500.00,58.00,30.10,44.00
20190927011322,500.00,58.00,30.10,43.00
20190927011423,495.00,58.00,30.00,43.00
20190927011523,489.00,59.00,30.10,44.00
20190927011623,489.00,58.00,30.10,44.00
20190927011723,484.00,58.00,30.10,44.00
20190927011823,487.00,58.00,30.10,45.00
20190927011923,485.00,58.00,30.20,45.00
