'sample interval','ABPmean','ABPsys','ABPdias','C.O.','HR','PAPmean','PAPsys','PAPdias','PULSE','RESP','SpO2','Tblood'
'1.024 sec','mmHg','mmHg','mmHg','lpm','bpm','mmHg','mmHg','mmHg','bpm','bpm','%','degC'
0,61.000,95.000,49.000,9.490,88.000,21.000,27.000,15.000,88.000,16.000,95.000,37.300
1,61.000,95.000,49.000,9.490,88.000,23.000,29.000,18.000,88.000,16.000,95.000,37.300
2,61.000,95.000,49.000,9.490,88.000,23.000,29.000,18.000,88.000,16.000,95.000,37.300
3,62.000,95.000,49.000,9.490,89.000,22.000,28.000,16.000,88.000,16.000,95.000,37.300
4,61.000,94.000,49.000,9.490,89.000,22.000,27.000,16.000,88.000,16.000,95.000,37.300
5,62.000,95.000,49.000,9.490,89.000,24.000,30.000,19.000,88.000,18.000,95.000,37.300
6,62.000,97.000,49.000,9.490,89.000,24.000,30.000,19.000,88.000,17.000,95.000,37.300
7,63.000,98.000,50.000,9.490,88.000,23.000,28.000,17.000,88.000,16.000,95.000,37.300
8,63.000,99.000,50.000,9.490,88.000,23.000,28.000,17.000,88.000,18.000,95.000,37.300
9,64.000,101.000,50.000,9.490,89.000,23.000,29.000,17.000,88.000,18.000,95.000,37.300
10,64.000,102.000,50.000,9.490,89.000,23.000,29.000,18.000,88.000,18.000,94.000,37.300
11,65.000,102.000,51.000,9.490,89.000,23.000,28.000,17.000,90.000,18.000,94.000,37.300
12,65.000,103.000,51.000,9.490,89.000,22.000,28.000,16.000,90.000,19.000,94.000,37.300
13,65.000,104.000,51.000,9.490,90.000,22.000,28.000,17.000,90.000,19.000,94.000,37.300
14,66.000,105.000,51.000,9.490,90.000,24.000,30.000,19.000,91.000,19.000,94.000,37.300
15,66.000,104.000,51.000,9.490,91.000,24.000,30.000,18.000,91.000,19.000,94.000,37.300
16,65.000,103.000,51.000,9.490,91.000,23.000,28.000,17.000,91.000,16.000,94.000,37.300
17,65.000,102.000,51.000,9.490,92.000,23.000,28.000,17.000,91.000,16.000,94.000,37.300
18,65.000,102.000,51.000,9.490,92.000,24.000,29.000,18.000,92.000,16.000,94.000,37.300
19,65.000,102.000,51.000,9.490,92.000,23.000,28.000,17.000,91.000,16.000,94.000,37.300
20,65.000,100.000,51.000,9.490,92.000,23.000,28.000,17.000,91.000,16.000,94.000,37.300
21,65.000,100.000,51.000,9.490,92.000,23.000,29.000,17.000,92.000,16.000,94.000,37.300
22,66.000,101.000,51.000,9.490,92.000,23.000,29.000,17.000,92.000,16.000,94.000,37.200
23,67.000,103.000,52.000,9.490,92.000,23.000,30.000,16.000,92.000,16.000,94.000,37.200
24,67.000,103.000,52.000,9.490,93.000,23.000,29.000,16.000,93.000,16.000,94.000,37.200
25,67.000,104.000,52.000,9.490,93.000,23.000,28.000,16.000,93.000,16.000,94.000,37.200
26,68.000,106.000,53.000,9.490,94.000,25.000,31.000,20.000,95.000,16.000,93.000,37.200
27,69.000,106.000,54.000,9.490,94.000,25.000,31.000,20.000,95.000,16.000,93.000,37.300
28,71.000,109.000,55.000,9.490,95.000,26.000,31.000,19.000,95.000,16.000,93.000,37.300
29,72.000,110.000,56.000,9.490,95.000,29.000,36.000,21.000,95.000,18.000,93.000,37.300
30,72.000,111.000,56.000,9.490,96.000,31.000,38.000,22.000,95.000,18.000,93.000,37.300
31,74.000,111.000,56.000,9.490,96.000,31.000,39.000,23.000,95.000,18.000,93.000,37.300
32,76.000,116.000,57.000,9.490,96.000,32.000,40.000,22.000,95.000,18.000,93.000,37.300
33,76.000,117.000,57.000,9.490,96.000,32.000,40.000,23.000,96.000,18.000,93.000,37.300
34,77.000,120.000,56.000,9.490,96.000,32.000,41.000,23.000,96.000,18.000,93.000,37.300
35,77.000,121.000,55.000,9.490,96.000,32.000,41.000,23.000,99.000,20.000,93.000,37.300
36,77.000,123.000,55.000,9.490,97.000,32.000,42.000,23.000,101.000,24.000,93.000,37.300
37,78.000,125.000,55.000,9.490,97.000,33.000,42.000,23.000,101.000,28.000,93.000,37.300
38,77.000,125.000,55.000,9.490,97.000,33.000,42.000,23.000,101.000,33.000,93.000,37.300
39,78.000,121.000,56.000,9.490,99.000,33.000,43.000,23.000,101.000,33.000,93.000,37.300
40,78.000,121.000,56.000,9.490,100.000,33.000,43.000,23.000,100.000,33.000,93.000,37.300
41,78.000,120.000,57.000,9.490,100.000,33.000,42.000,23.000,100.000,38.000,92.000,37.300
42,78.000,120.000,57.000,9.490,102.000,33.000,42.000,23.000,100.000,38.000,92.000,37.300
43,79.000,119.000,58.000,9.490,102.000,33.000,43.000,23.000,92.000,38.000,92.000,37.300
44,79.000,119.000,59.000,9.490,103.000,33.000,43.000,23.000,92.000,32.000,91.000,37.300
45,79.000,115.000,60.000,9.490,103.000,33.000,43.000,23.000,87.000,34.000,90.000,37.300
46,79.000,114.000,60.000,9.490,105.000,33.000,43.000,23.000,87.000,34.000,90.000,37.300
47,79.000,114.000,60.000,9.490,105.000,33.000,45.000,25.000,87.000,34.000,90.000,37.300
48,79.000,113.000,60.000,9.490,106.000,32.000,42.000,24.000,87.000,34.000,90.000,37.300
49,80.000,115.000,62.000,9.490,106.000,32.000,42.000,24.000,87.000,32.000,90.000,37.300
50,80.000,115.000,62.000,9.490,107.000,32.000,41.000,25.000,87.000,32.000,88.000,37.300
51,81.000,115.000,62.000,9.490,107.000,32.000,45.000,24.000,87.000,30.000,88.000,37.300
52,80.000,114.000,62.000,9.490,107.000,29.000,39.000,20.000,87.000,31.000,87.000,37.300
