'sample interval','ABPmean','ABPsys','ABPdias','CVP','HR','NBPmean','NBPsys','NBPdias','PULSE','RESP','SpO2'
'1.024 sec','mmHg','mmHg','mmHg','mmHg','bpm','mmHg','mmHg','mmHg','bpm','bpm','%'
0,118.000,154.000,92.000,12.000,97.000,0.000,0.000,0.000,96.000,17.000,95.000
1,117.000,153.000,91.000,12.000,97.000,0.000,0.000,0.000,96.000,17.000,95.000
2,117.000,153.000,91.000,12.000,97.000,0.000,0.000,0.000,96.000,17.000,95.000
3,117.000,153.000,91.000,13.000,97.000,0.000,0.000,0.000,96.000,17.000,95.000
4,117.000,154.000,91.000,12.000,98.000,0.000,0.000,0.000,96.000,16.000,95.000
5,117.000,154.000,91.000,13.000,98.000,0.000,0.000,0.000,96.000,16.000,95.000
6,118.000,155.000,92.000,13.000,97.000,0.000,0.000,0.000,91.000,16.000,95.000
7,119.000,156.000,93.000,13.000,96.000,0.000,0.000,0.000,89.000,16.000,95.000
8,119.000,157.000,93.000,13.000,95.000,0.000,0.000,0.000,89.000,16.000,95.000
9,120.000,157.000,94.000,13.000,95.000,0.000,0.000,0.000,88.000,16.000,95.000
10,120.000,157.000,94.000,13.000,94.000,0.000,0.000,0.000,90.000,16.000,95.000
11,120.000,158.000,94.000,13.000,93.000,0.000,0.000,0.000,90.000,16.000,94.000
12,120.000,158.000,94.000,13.000,93.000,0.000,0.000,0.000,90.000,16.000,94.000
13,121.000,158.000,94.000,13.000,91.000,0.000,0.000,0.000,90.000,16.000,94.000
14,121.000,158.000,94.000,13.000,91.000,0.000,0.000,0.000,91.000,16.000,94.000
15,0.000,0.000,0.000,0.000,91.000,0.000,0.000,0.000,91.000,0.000,94.000
16,0.000,0.000,0.000,0.000,91.000,0.000,0.000,0.000,91.000,0.000,94.000
17,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,91.000,0.000,94.000
18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,91.000,0.000,94.000
19,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,91.000,0.000,94.000
20,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,91.000,0.000,94.000
21,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,91.000,0.000,94.000
22,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,91.000,0.000,94.000
23,107.000,107.000,107.000,13.000,0.000,0.000,0.000,0.000,91.000,0.000,94.000
24,110.000,110.000,110.000,13.000,0.000,0.000,0.000,0.000,92.000,0.000,94.000
25,110.000,110.000,110.000,13.000,0.000,0.000,0.000,0.000,93.000,0.000,94.000
26,115.000,151.000,89.000,12.000,0.000,0.000,0.000,0.000,94.000,0.000,94.000
27,114.000,151.000,89.000,12.000,0.000,0.000,0.000,0.000,94.000,0.000,94.000
28,115.000,151.000,89.000,12.000,0.000,0.000,0.000,0.000,95.000,0.000,94.000
29,115.000,152.000,89.000,13.000,0.000,0.000,0.000,0.000,95.000,0.000,94.000
30,115.000,151.000,89.000,12.000,95.000,0.000,0.000,0.000,95.000,0.000,94.000
31,115.000,151.000,89.000,12.000,95.000,0.000,0.000,0.000,95.000,11.000,94.000
32,115.000,151.000,89.000,12.000,95.000,0.000,0.000,0.000,95.000,11.000,94.000
33,115.000,151.000,89.000,12.000,95.000,0.000,0.000,0.000,95.000,11.000,94.000
34,115.000,151.000,89.000,13.000,96.000,0.000,0.000,0.000,95.000,12.000,94.000
35,115.000,151.000,89.000,12.000,96.000,0.000,0.000,0.000,95.000,12.000,94.000
36,115.000,151.000,89.000,12.000,96.000,0.000,0.000,0.000,96.000,12.000,94.000
37,115.000,151.000,89.000,12.000,96.000,0.000,0.000,0.000,96.000,13.000,94.000
38,115.000,151.000,89.000,12.000,96.000,0.000,0.000,0.000,96.000,13.000,94.000
39,115.000,151.000,89.000,12.000,96.000,0.000,0.000,0.000,96.000,13.000,93.000
40,116.000,152.000,90.000,12.000,96.000,0.000,0.000,0.000,96.000,13.000,93.000
